code,name,car
26,부산,4320
27,대구,12468
30,대전,3338
29,광주,3046
41,경기,17197
42,강원,3091
47,경북,5400
48,경남,5003
43,충북,3319
44,충남,4252
45,전북,2906
46,전남,4576
36,세종,1076
11,서울,20997
28,인천,4204
31,울산,2142
50,제주,20699
